#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-29T23:08:58 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-29T23:08:58	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FAJ%2F152%2F50&-out.all&-out.max=2000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520050
#Name: J/AJ/152/50
#Title: Cosmicflows-3 catalog (CF3) (Tully+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/50	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/152/50	    IVOID of underlying data collection
#INFO	creator=Tully R.B.	    First author or institution
#INFO	cites=bibcode:2016AJ....152...50T	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/50	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520050	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-08-24	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	J_AJ_152_50_table2:
#Name: J/AJ/152/50/table2
#Title: Summary group properties
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Nest	(I6)	[100001/400002]? 2MASS "nest" group identification (Tully 2015, Cat. J/AJ/149/171)	[ucd=meta.id]
#Column	o_<DM>	(I3)	[1/161] Number of galaxies in group with distance measures (N_d_^gp^)	[ucd=meta.number]
#Column	<DM>	(F5.2)	[18.4/38.5] Weighted average group distance modulus (<{mu}>^gp^)	[ucd=phot.mag.distMod]
#Column	e_<DM>	(F5.2)	[0.02/0.54] One standard deviation uncertainty in <DM> ({epsilon}_{mu}_^gp^)	[ucd=stat.error]
#Column	<Dist>	(F5.1)	[0/494.3] Luminosity distance to group; weighted average of distance moduli	[ucd=pos.distance;pos.heliocentric]
#Column	Abell	(A5)	Abell Cluster identification (ASxxx are from the southern supplement list)	[ucd=meta.id]
#Column	GName	(a9)	Alternative name for group or cluster	[ucd=meta.id]
#Column	Npv	(I3)	[1/197] Number of galaxies in group with positions and velocities in the 2MRS catalog (Huchra et al. 2012, Cat. J/ApJS/199/26) (N_v_)	[ucd=meta.number]
#Column	PGC1	(I7)	[14/9003164] Principal Galaxies Catalog identifier of brightest group member	[ucd=meta.id.assoc]
#Column	GLON	(F6.2)	Group Galactic longitude (Glon^gp^)	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.2)	Group Galactic latitude (Glat^gp^)	[ucd=pos.galactic.lat]
#Column	SGLON	(F8.4)	Group Supergalactic longitude (SGL^gp^) (G1)	[ucd=pos.supergalactic.lon]
#Column	SGLAT	(F8.4)	Group Supergalactic latitude (SGB^gp^) (G1)	[ucd=pos.supergalactic.lat]
#Column	logLKs	(F5.2)	[0/14.43] Log summed Ks luminosity of group (LogL^gp^) (G2)	[ucd=phys.luminosity;em.IR.K]
#Column	CF	(F6.2)	[0/118.1] Luminosity selection function correction factor (cf)	[ucd=arith.factor]
#Column	sigP	(I4)	[0/2303] Projected velocity dispersion ({sigma}_p_) (G3)	[ucd=phys.veloc.dispersion]
#Column	R2t	(F7.4)	[0/84] Projected second turnaround radius (R_2t_) (G4)	[ucd=phys.size.radius]
#Column	<HV>	(I5)	[-376/29980] Group heliocentric velocity (V_h_^gp^)	[ucd=phys.veloc;pos.heliocentric]
#Column	<Vgsr>	(I5)	[-189/29883] Group velocity in Galactic standard of rest (V_gsr_^gp^) (G5)	[ucd=phys.veloc;pos.galactocentric]
#Column	<Vls>	(I5)	[-158/29882] Group velocity in Local Sheet standard of rest (Tully et al. 2008, Cat. J/ApJ/676/184) (V_ls_^gp^)	[ucd=phys.veloc;pos.lsr]
#Column	<Vcmb>	(I5)	[-669/29820] Group velocity in CMB standard of rest (Fixsen et al. 1996ApJ...473..576F) (V_cmb_^gp^)	[ucd=phys.veloc;pos.cmb]
#Column	<Vcmba>	(I5)	[-668/32110] Group velocity in CMB standard of rest, adjusted (V_mod_^gp^) (G6)	[ucd=phys.veloc;pos.cmb]
#Column	sigma	(I4)	[0/2401]? RMS group velocity dispersion (V_rms_)	[ucd=stat.stdev;phys.veloc.dispersion;pos.lg]
#Column	Mvir	(F9.3)	[0/29467] Group mass from virial theorem (M_12_^bw^) (G7)	[ucd=phys.mass]
#Column	Mlum	(F10.4)	[0/24401] Group mass from luminosity (M_12_^L^) (G8)	[ucd=phys.mass]
#Column	LDC	(I4)	[3/1538]? Low density group identifier (Crook et al. 2007, Cat. J/ApJ/655/790)	[ucd=meta.id]
#Column	HDC	(I4)	[2/1258]? High density group identifier (Crook et al. 2007, Cat. J/ApJ/655/790)	[ucd=meta.id]
#Column	2M++	(I4)	[0/4715]? Group identifier from 2MASS++ catalog (Lavaux & Hudson 2011, Cat. J/MNRAS/416/2840)	[ucd=meta.id]
#Column	MK2011	(I7)	[0/5067059] Group identifier from MK2011 catalog (Makarov & Karachentsev 2011, Cat. J/MNRAS/412/2498) (M&K)	[ucd=meta.id;meta.main]
#Column	Icnt	(I4)	[0/2941]? Internal reference identifier	[ucd=meta.id]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F8.4)	Declination (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
recno	Nest	o_<DM>	<DM>	e_<DM>	<Dist>	Abell	GName	Npv	PGC1	GLON	GLAT	SGLON	SGLAT	logLKs	CF	sigP	R2t	<HV>	<Vgsr>	<Vls>	<Vcmb>	<Vcmba>	sigma	Mvir	Mlum	LDC	HDC	2M++	MK2011	Icnt	Simbad	_RA.icrs	_DE.icrs
    1257	202576	  2	35.35	 0.35	117.2	     	         	  2	   4517	289.17	-71.93	253.6039	-14.5014	11.83	  2.30	 266	 0.7230	 9344	 9265	 9256	 9150	 9370	  44	    0.000	   37.6000	    	    	3392	      0	   0	Simbad	018.8034	-44.5575
    1258	204694	  2	35.35	 0.35	117.2	     	         	  1	 225401	294.33	-23.64	203.0742	-23.6114	12.10	  4.10	 338	 0.9170	12090	11882	11819	12175	12564	   0	    0.000	   76.9330	    	    	    	      0	   0	Simbad	125.1417	-81.4847
    1259	206272	  2	35.35	 0.35	117.2	     	         	  1	  20170	271.72	-21.74	204.4357	-44.5036	11.65	  2.38	 227	 0.6160	 9528	 9293	 9236	 9653	 9898	   0	    0.000	   23.3330	 482	    	4133	      0	   0	Simbad	106.7338	-61.1545
    1260	206184	  2	35.35	 0.29	117.3	     	         	  1	  17633	229.82	-25.79	263.4149	-70.3927	11.67	  2.07	 231	 0.6280	 9016	 8834	 8817	 9079	 9296	   0	    0.000	   24.6670	    	    	    	      0	   0	Simbad	085.5842	-25.5424
    1261	101494	  2	35.34	 0.35	116.9	     	         	  2	 185081	357.87	+38.32	136.8050	 35.0790	12.00	  3.15	 310	 0.8430	10881	10887	10847	11040	11360	 433	    0.000	   59.6000	    	    	    	      0	   0	Simbad	233.1554	-06.7988
    1262	201148	  2	35.33	 0.28	116.7	     	         	  3	  67349	066.28	-31.85	294.1862	 47.7848	11.69	  2.00	 235	 0.6390	 8334	 8529	 8576	 7989	 8156	 136	    0.000	   26.0000	    	    	    	      0	   0	Simbad	326.7483	+10.0764
    1263	100778	  2	35.32	 0.35	116.1	     	         	  4	 157861	299.67	+15.17	162.3608	-15.2402	11.90	  2.04	 284	 0.7710	 8318	 8115	 8038	 8585	 8778	  61	    0.000	   45.6000	 869	    	1398	      0	   0	Simbad	188.1894	-47.5834
    1264	100644	  2	35.32	 0.35	116.1	     	         	  4	  50519	327.98	+41.19	139.1694	 12.1360	12.13	  2.23	 346	 0.9410	 8878	 8789	 8729	 9142	 9361	 205	    0.000	   83.0670	 994	 841	2054	      0	   0	Simbad	212.4144	-17.8462
    1265	200185	  2	35.32	 0.35	115.9	     	         	  8	   5827	261.66	-76.92	262.3394	-17.0445	12.52	  2.10	 489	 1.3280	 8865	 8802	 8803	 8652	 8848	 346	  113.467	  233.3330	 100	  86	3399	      0	   0	Simbad	023.5690	-36.5507
    1266	200363	  2	35.32	 0.26	115.7	     	         	  6	  65799	029.20	-35.68	249.1403	 44.6619	12.25	  2.12	 385	 1.0470	 8536	 8639	 8648	 8259	 8438	 156	   33.733	  114.4000	1370	1122	3828	      0	   0	Simbad	314.2705	-18.2407
    1267	106693	  2	35.31	 0.35	115.3	     	         	  1	  57505	012.15	+34.53	134.1588	 47.0004	11.61	  2.31	 218	 0.5930	 9230	 9287	 9260	 9324	 9553	   0	    0.000	   20.8000	    	    	    	      0	   0	Simbad	243.2341	-00.0962
    1268	101214	  2	35.30	 0.35	114.8	     	         	  3	 910292	002.88	+19.46	158.7490	 44.8535	11.75	  1.96	 247	 0.6710	 8275	 8300	 8263	 8332	 8514	  98	    0.000	   30.1330	    	    	1336	      0	   0	Simbad	250.7671	-15.5644
    1269	200236	  2	35.30	 0.31	114.7	     	         	  7	  18393	225.16	-18.38	279.9245	-77.7503	12.13	  1.75	 347	 0.9410	 7942	 7763	 7748	 8037	 8206	 336	  124.267	   83.2000	 424	    	4400	      0	   0	Simbad	091.3426	-18.8243
    1270	201745	  2	35.29	 0.35	114.6	     	         	  2	 256237	304.69	-10.58	189.4031	-13.5759	11.44	  1.74	 188	 0.5110	 7272	 7074	 7003	 7406	 7550	 206	    0.000	   13.3330	    	    	4649	      0	   0	Simbad	198.9081	-73.3691
    1271	205912	  2	35.29	 0.35	114.6	     	         	  1	  21426	281.56	-21.48	201.9424	-35.5502	11.72	  3.04	 242	 0.6560	10775	10546	10484	10893	11205	   0	    0.000	   28.1330	    	    	    	      0	   0	Simbad	114.4001	-69.7506
    1272	200890	  2	35.29	 0.35	114.3	     	         	  3	3705048	247.62	-27.61	230.2751	-61.3252	12.12	  2.88	 344	 0.9330	10781	10568	10534	10862	11172	 406	    0.000	   81.0670	    	    	    	      0	   0	Simbad	088.7968	-41.3111
    1273	202703	  2	35.29	 0.35	114.3	     	         	  2	  63931	040.69	-15.22	252.9722	 67.4678	11.43	  1.94	 187	 0.5080	 7945	 8109	 8128	 7699	 7855	  30	    0.000	   13.0400	    	    	    	      0	   0	Simbad	299.8996	-00.2167
    1274	102182	  2	35.29	 0.31	114.5	     	         	  2	 872386	294.79	+44.45	132.2256	-11.2671	11.54	  2.02	 206	 0.5590	 8176	 8022	 7957	 8522	 8712	 106	    0.000	   17.3330	    	    	    	      0	   0	Simbad	186.7560	-18.0354
    1275	200692	  2	35.28	 0.35	114.0	     	         	  4	  64079	031.63	-21.13	241.0343	 58.5049	11.93	  2.04	 291	 0.7890	 8226	 8355	 8363	 7986	 8153	 168	    0.000	   49.0670	1318	1086	4231	      0	   0	Simbad	301.3123	-10.5584
    1276	202226	  2	35.28	 0.35	114.0	     	         	  2	  22697	280.56	-18.26	198.1158	-36.8749	11.55	  1.63	 208	 0.5640	 7040	 6806	 6742	 7179	 7314	  93	    0.000	   17.8670	 556	    	4394	      0	   0	Simbad	121.4493	-67.5828
    1277	200643	  2	35.28	 0.31	114.0	     	         	  4	  75476	244.33	-26.50	233.2272	-64.1520	12.33	  2.43	 414	 1.1230	 9857	 9647	 9615	 9942	10201	 238	    0.000	  141.3330	    	    	4028	      0	   0	Simbad	089.2802	-38.2001
    1278	100907	  2	35.28	 0.16	114.0	A1736	         	  3	  46779	312.02	+36.11	143.5549	 -0.5774	12.13	  2.65	 348	 0.9450	 9828	 9688	 9619	10125	10394	 302	    0.000	   84.1330	 935	 777	1889	      0	2541	Simbad	201.0347	-26.1840
    1279	201016	  2	35.27	 0.35	113.2	     	         	  3	  11735	212.90	-58.84	279.2383	-36.3160	12.09	  2.75	 335	 0.9090	10624	10543	10553	10468	10755	 214	    0.000	   74.9330	    	    	3391	      0	   0	Simbad	047.0475	-22.9508
    1280	201493	  2	35.27	 0.31	113.4	     	         	  2	  68980	008.73	-58.61	249.9977	 18.0860	11.77	  2.17	 252	 0.6850	 8779	 8798	 8797	 8510	 8700	 429	    0.000	   32.1330	    	    	3494	      0	   0	Simbad	337.2096	-35.4003
    1281	100101	  2	35.26	 0.35	112.7	     	         	 11	 900018	003.59	+16.78	162.3511	 45.9639	12.49	  2.04	 475	 1.2910	 8536	 8564	 8528	 8577	 8770	 342	   20.533	  214.6670	1162	    	1338	      0	   0	Simbad	253.4285	-16.6127
    1282	100296	  2	35.26	 0.35	112.7	     	         	  6	  55625	350.39	+30.70	147.6999	 31.4553	12.18	  1.69	 361	 0.9810	 7189	 7166	 7117	 7344	 7486	 413	  161.333	   94.1330	    	    	1681	      0	   0	Simbad	234.2247	-16.5358
    1283	102550	  2	35.25	 0.35	111.9	     	         	  2	  29548	256.26	+31.19	124.6884	-43.4303	11.66	  2.12	 228	 0.6200	 8481	 8274	 8218	 8833	 9038	  59	    0.000	   23.7330	    	    	    	      0	   0	Simbad	152.3578	-16.6349
    1284	201823	  2	35.25	 0.35	111.9	     	         	  2	  11012	175.99	-49.85	305.1606	-28.9617	12.26	  2.00	 389	 1.0560	 8841	 8840	 8878	 8634	 8830	 175	    0.000	  117.4670	    	    	    	      0	   0	Simbad	043.8803	-00.2088
    1285	201476	  2	35.25	 0.28	112.2	     	         	  2	   4881	270.14	-78.88	262.2346	-14.4047	11.99	  2.51	 306	 0.8320	 9904	 9848	 9850	 9679	 9925	 497	    0.000	   57.4670	    	    	    	      0	   0	Simbad	020.3043	-36.2789
    1286	102148	  2	35.24	 0.35	111.9	     	         	  2	  25429	247.34	+17.36	129.4975	-59.1788	11.84	  2.72	 268	 0.7270	 9971	 9748	 9699	10279	10556	 112	    0.000	   38.2670	    	    	    	      0	   0	Simbad	135.8648	-20.1180
    1287	200613	  2	35.24	 0.35	111.7	     	         	  4	  66852	028.35	-43.70	252.8227	 37.1044	12.48	  3.19	 472	 1.2830	10857	10945	10955	10565	10858	 286	    0.000	  210.6670	    	    	    	      0	   0	Simbad	322.0971	-21.4957
    1288	201262	  2	35.24	 0.35	111.7	     	         	  3	 101205	350.64	-42.74	229.5003	 19.0081	11.95	  2.48	 296	 0.8040	 9458	 9431	 9407	 9281	 9507	  84	    0.000	   51.7330	    	    	3670	      0	   0	Simbad	317.7352	-48.5303
    1289	100487	  2	35.24	 0.28	111.7	     	         	  5	  50459	351.68	+64.54	112.1952	 19.8923	12.08	  1.70	 333	 0.9040	 7149	 7144	 7111	 7403	 7547	 124	   17.867	   73.6000	 998	 834	2274	      0	   0	Simbad	211.9693	+09.1740
    1290	208004	  2	35.23	 0.28	111.2	     	         	  1	   6321	274.99	-70.01	254.4642	-19.4213	11.31	  1.48	 168	 0.4560	 6339	 6247	 6238	 6162	 6262	   0	    0.000	    9.4930	 107	    	    	      0	   0	Simbad	025.7728	-44.2101
    1291	100661	  2	35.23	 0.24	111.0	     	         	  4	  22445	194.81	+26.08	 47.1044	-44.7459	11.93	  1.95	 290	 0.7870	 8102	 8038	 8049	 8302	 8483	 184	    0.000	   48.5330	    	    	1678	      0	   0	Simbad	120.0369	+26.6859
    1292	100462	  2	35.22	 0.18	110.9	     	         	  5	  27666	188.07	+49.20	 62.8762	-24.7884	11.95	  1.61	 295	 0.8000	 6752	 6727	 6734	 7000	 7129	 167	   14.000	   51.0670	 661	 538	1937	      0	2362	Simbad	145.6309	+36.1339
    1293	200923	  2	35.19	 0.35	109.1	     	         	  3	 906358	032.86	-36.86	253.6197	 44.7366	11.72	  2.13	 242	 0.6560	 8577	 8689	 8701	 8287	 8467	 335	    0.000	   28.1330	1375	    	    	      0	   0	Simbad	316.5500	-15.9275
    1294	200906	  2	35.19	 0.35	109.1	     	         	  3	  15374	207.04	-36.25	299.0557	-54.7555	12.09	  2.31	 335	 0.9090	 9741	 9637	 9649	 9686	 9932	 361	    0.000	   74.9330	 307	    	3653	      0	   0	Simbad	067.7489	-11.3003
    1295	200628	  2	35.19	 0.35	108.9	     	         	  4	  66785	349.32	-45.22	231.3239	 16.9926	12.06	  2.39	 326	 0.8850	 9258	 9228	 9204	 9076	 9292	 261	    0.000	   69.2000	1406	1148	3782	      0	   0	Simbad	321.6687	-49.1197
    1296	200982	  2	35.19	 0.35	108.9	     	         	  3	  62713	343.39	-23.15	207.7752	 20.9539	11.86	  2.33	 273	 0.7410	 8989	 8930	 8886	 8922	 9131	 243	    0.000	   40.6670	    	    	    	      0	   0	Simbad	285.8220	-53.3132
    1297	200462	  2	35.18	 0.35	108.6	     	         	  5	  11868	193.17	-53.34	294.3189	-35.3916	11.51	  1.19	 201	 0.5450	 4938	 4891	 4916	 4764	 4824	 234	    2.760	   16.1330	 226	    	4192	      0	   0	Simbad	047.7419	-10.7265
    1298	202408	  2	35.16	 0.35	107.6	     	         	  2	  71711	083.33	-58.29	289.0855	 19.2228	11.88	  2.69	 278	 0.7550	10263	10389	10434	 9898	10155	  64	    0.000	   42.9330	1515	    	    	      0	   0	Simbad	353.2758	-01.5748
    1299	200251	  2	35.16	 0.31	107.8	     	         	  7	   4908	286.23	-72.01	254.1014	-15.2761	12.13	  1.58	 347	 0.9410	 6915	 6834	 6826	 6722	 6841	 252	   94.133	   83.2000	  87	  68	3659	      0	   0	Simbad	019.9697	-44.1843
    1300	101605	  2	35.16	 0.31	107.5	     	         	  2	4076841	329.73	+18.91	162.0313	 13.7034	11.38	  1.75	 179	 0.4870	 7403	 7294	 7228	 7589	 7740	 288	    0.000	   11.5070	    	    	1412	      0	   0	Simbad	225.2058	-37.1392
    1301	202098	  2	35.16	 0.31	107.5	     	         	  2	   5690	277.92	-72.64	256.0543	-17.0747	11.40	  1.53	 182	 0.4950	 6684	 6603	 6597	 6491	 6602	 112	    0.000	   12.0530	    	    	    	      0	   0	Simbad	022.7151	-42.5209
    1302	100188	  2	35.16	 0.28	107.6	     	         	 10	  55783	044.41	+52.37	 92.5066	 43.8936	12.57	  2.52	 509	 1.3830	 9738	 9856	 9856	 9841	10095	 248	   97.733	  264.0000	    	    	2330	      0	   0	Simbad	235.5147	+27.9860
    1303	201202	  2	35.15	 0.35	107.2	     	         	  3	  62777	005.08	-17.14	209.9687	 42.0791	11.32	  1.50	 170	 0.4600	 6052	 6082	 6056	 5926	 6018	 106	    0.000	    9.7470	1274	    	4472	      0	   0	Simbad	286.8350	-32.1209
    1304	102861	  2	35.15	 0.35	107.2	     	         	  2	  32742	262.69	+42.01	120.4133	-31.9359	11.82	  2.04	 265	 0.7190	 8208	 8027	 7972	 8577	 8770	  26	    0.000	   37.0670	    	    	2030	      0	   0	Simbad	163.5277	-11.5138
    1305	101709	  2	35.15	 0.35	107.2	     	         	  2	  28942	246.96	+35.79	112.2371	-44.0423	12.10	  2.88	 338	 0.9190	10221	10035	 9988	10575	10868	 231	    0.000	   77.4670	    	    	2023	      0	   0	Simbad	150.1178	-07.8930
    1306	206669	  2	35.15	 0.35	107.2	     	         	  1	 166927	034.34	-17.06	241.3238	 63.3067	11.56	  2.15	 210	 0.5690	 8822	 8964	 8975	 8588	 8783	   0	    0.000	   18.4000	    	    	    	      0	   0	Simbad	298.7356	-06.4805
    1307	202588	  2	35.14	 0.35	106.7	     	         	  2	  10432	198.89	-62.03	285.0448	-30.4610	11.88	  1.99	 278	 0.7550	 8744	 8695	 8715	 8548	 8740	  42	    0.000	   42.9330	    	    	    	      0	   0	Simbad	041.3616	-17.5444
    1308	207991	  2	35.14	 0.35	106.4	     	         	  1	  64279	354.07	-32.83	221.4062	 26.0713	11.31	  2.45	 168	 0.4560	 9363	 9347	 9318	 9213	 9437	   0	    0.000	    9.4930	    	    	    	      0	   0	Simbad	303.1645	-45.7614
    1309	100935	  2	35.14	 0.28	106.9	     	         	  8	  59560	067.23	+36.77	 62.0096	 54.5589	12.41	  1.94	 443	 1.2030	 8286	 8480	 8508	 8263	 8442	 162	   43.200	  173.3330	1179	    	    	      0	   0	Simbad	256.5689	+42.4296
    1310	101363	  2	35.14	 0.16	106.7	     	         	  3	  27385	206.66	+46.23	 72.7750	-34.3065	11.89	  1.81	 280	 0.7600	 7512	 7432	 7423	 7803	 7963	  28	    0.000	   43.8670	 653	 533	2077	      0	   0	Simbad	144.3530	+23.3618
    1311	201663	  2	35.12	 0.35	105.9	     	         	  2	  18187	259.23	-28.90	220.7663	-52.3994	11.86	  1.95	 273	 0.7410	 8429	 8208	 8165	 8511	 8701	 252	    0.000	   40.6670	    	    	    	      0	   0	Simbad	089.6911	-51.5963
    1312	102203	  2	35.12	 0.35	105.7	     	         	  2	4075981	270.70	+12.05	156.9270	-43.1629	11.24	  1.61	 158	 0.4290	 6726	 6482	 6414	 7023	 7153	 103	    0.000	    7.8800	    	    	    	      0	   0	Simbad	150.0464	-39.8706
    1313	102444	  2	35.12	 0.35	105.7	     	         	  2	 970086	013.50	+12.54	166.9033	 56.0438	11.55	  1.96	 209	 0.5670	 8357	 8427	 8403	 8338	 8520	  72	    0.000	   18.1330	    	    	1202	      0	   0	Simbad	262.5158	-10.9540
    1314	200812	  2	35.11	 0.30	105.0	     	         	  4	  14782	206.26	-39.80	296.4110	-51.5272	12.17	  2.02	 359	 0.9750	 8922	 8824	 8837	 8846	 9051	  43	    0.000	   92.5330	 294	    	3761	      0	   0	Simbad	064.2030	-12.2652
    1315	200600	  2	35.10	 0.35	104.7	     	         	  4	   2948	303.77	-64.98	245.2074	-11.4564	11.90	  1.87	 283	 0.7690	 8001	 7909	 7891	 7831	 7992	 313	    0.000	   45.3330	  58	    	3554	      0	   0	Simbad	012.2819	-52.1445
    1316	202234	  2	35.10	 0.35	104.5	     	         	  2	  63984	345.85	-31.48	216.9537	 20.2808	11.20	  1.40	 153	 0.4150	 5608	 5561	 5524	 5493	 5573	  92	    0.000	    7.0930	    	    	4295	      0	   0	Simbad	300.0778	-52.5565
    1317	200647	  2	35.10	 0.31	104.8	     	         	  4	  71035	079.92	-54.83	289.6942	 23.1127	12.30	  2.16	 403	 1.0930	 8961	 9098	 9144	 8592	 8786	 233	    0.000	  130.5330	    	    	    	      0	   0	Simbad	349.7230	+00.1205
    1318	100623	  2	35.10	 0.28	104.5	3C296	         	  4	  51006	358.08	+64.12	110.9800	 22.4563	12.30	  1.81	 404	 1.0990	 7559	 7566	 7535	 7800	 7960	 235	    0.000	  132.1330	1005	    	    	      0	2572	Simbad	214.2497	+10.8512
    1319	200322	  2	35.09	 0.37	104.1	     	         	  6	  19126	234.95	-16.32	234.0463	-77.5478	12.04	  1.57	 320	 0.8690	 7145	 6940	 6912	 7274	 7413	 334	  116.133	   65.6000	    	    	    	      0	   0	Simbad	097.3366	-26.6375
    1320	102661	  2	35.08	 0.28	104.0	     	         	  2	  36038	282.03	+36.53	135.5572	-23.3562	11.50	  2.01	 199	 0.5400	 8130	 7939	 7871	 8483	 8672	  47	    0.000	   15.7330	    	    	1879	      0	   0	Simbad	174.6616	-23.3697
    1321	206964	  2	35.08	 0.25	103.6	     	         	  1	   9973	172.73	-54.08	301.9413	-25.2502	11.50	  1.92	 199	 0.5400	 8529	 8535	 8574	 8301	 8483	   0	    0.000	   15.7330	    	    	    	      0	   0	Simbad	039.4945	-01.8484
    1322	205651	  2	35.06	 0.35	102.8	     	         	  1	  19096	266.34	-25.62	211.8685	-48.1039	11.78	  2.49	 255	 0.6910	 9838	 9608	 9558	 9941	10201	   0	    0.000	   32.9330	    	    	    	      0	   0	Simbad	097.0469	-57.2972
    1323	201737	  2	35.06	 0.31	102.7	     	         	  2	 596751	244.93	-29.99	237.2324	-61.1415	11.87	  2.83	 276	 0.7490	10698	10493	10462	10761	11065	 210	    0.000	   41.8670	    	    	    	      0	   0	Simbad	085.0765	-39.5223
    1324	200659	  2	35.06	 0.28	102.6	     	         	  4	  64883	356.29	-36.33	225.8015	 25.9580	11.72	  1.67	 242	 0.6560	 6926	 6917	 6893	 6754	 6874	 219	    0.000	   28.1330	1350	1108	4190	      0	   0	Simbad	308.3377	-44.2707
    1325	100264	  2	35.06	 0.26	102.7	     	         	  7	  59979	027.89	+24.16	134.2713	 64.1596	12.01	  1.54	 312	 0.8470	 6726	 6845	 6837	 6715	 6833	 172	   29.200	   60.6670	    	    	    	      0	   0	Simbad	259.0615	+06.6188
    1326	102150	  2	35.06	 0.26	102.6	     	         	  2	  62059	060.62	+17.41	 41.7358	 72.9518	11.22	  1.28	 155	 0.4200	 5380	 5596	 5629	 5246	 5319	 112	    0.000	    7.4130	    	    	    	      0	   0	Simbad	278.5196	+32.0750
    1327	202846	  2	35.05	 0.35	102.3	     	         	  2	  11435	197.86	-57.41	288.6588	-33.9640	11.59	  2.22	 215	 0.5840	 9434	 9381	 9402	 9254	 9479	  17	    0.000	   19.8670	    	    	3477	      0	   0	Simbad	045.4444	-15.0426
    1328	202898	  2	35.05	 0.31	102.3	     	         	  2	  72141	025.06	-74.48	264.1162	  8.0487	11.55	  2.00	 208	 0.5640	 8424	 8448	 8461	 8123	 8296	  11	    0.000	   17.8670	1532	    	    	      0	   0	Simbad	355.3631	-28.1624
    1329	201769	  2	35.05	 0.31	102.3	     	         	  2	  70406	313.63	-42.79	222.4512	 -7.0290	11.80	  2.17	 259	 0.7040	 8786	 8653	 8610	 8716	 8915	 199	    0.000	   34.8000	    	    	3747	      0	   0	Simbad	346.5710	-72.0862
    1330	100738	  2	35.05	 0.28	102.3	     	         	  4	  45697	311.07	+55.21	124.5711	  1.6133	11.79	  1.64	 256	 0.6960	 6818	 6720	 6665	 7141	 7275	 108	    0.000	   33.6000	 909	 755	2064	      0	   0	Simbad	197.5309	-07.3662
    1331	208294	  2	35.04	 0.28	101.9	     	         	  1	  68275	074.78	-33.59	301.2755	 42.3895	11.26	  1.87	 161	 0.4370	 7972	 8172	 8226	 7616	 7769	   0	    0.000	    8.3200	1442	1178	    	      0	   0	Simbad	333.0979	+14.0249
    1332	205940	  2	35.04	 0.24	101.8	     	         	  1	   7957	139.70	-25.67	334.6606	 -4.8267	11.72	  3.48	 242	 0.6560	 4416	 4552	 4622	 4170	 4216	   0	    0.000	   28.1330	    	    	    	      0	   0	Simbad	031.3173	+34.7862
    1333	201077	  2	35.03	 0.35	101.6	     	         	  3	2801721	298.59	-10.08	188.4872	-19.5346	11.82	  1.66	 264	 0.7160	 6979	 6766	 6694	 7131	 7265	 168	    0.000	   36.6670	 822	 679	4644	      0	   0	Simbad	178.5340	-72.4670
    1334	201062	  2	35.03	 0.28	101.4	     	         	  3	  70526	098.72	-25.59	325.1109	 30.8172	11.73	  1.46	 244	 0.6610	 6405	 6624	 6695	 6070	 6167	 174	    0.000	   28.9330	    	    	    	      0	   0	Simbad	346.8927	+32.3525
    1335	202313	  2	35.03	 0.26	101.4	     	         	  2	  24478	282.80	-15.46	194.4724	-34.9562	11.62	  1.65	 221	 0.6000	 7104	 6869	 6803	 7256	 7394	  78	    0.000	   21.6000	    	    	4532	      0	   0	Simbad	130.7260	-67.9607
    1336	102064	  2	35.02	 0.35	100.9	     	         	  2	  23749	225.91	+20.56	 86.9830	-63.0768	12.27	  3.68	 392	 1.0640	11511	11338	11312	11790	12155	 131	    0.000	  120.2670	    	    	1618	      0	   0	Simbad	126.9754	-01.5475
